filename,label,path,extension,size_bytes,sha256,is_open,can_read_first,corrupted,fps,reported_frame_count,actual_frames_read,width,height,aspect_ratio,fourcc,duration_sec
N (14).mp4,NORMAL,C:\Users\Lenovo\Downloads\CattleLameness-main\CattleLameness-main\Data\Normal\N (14).mp4,.mp4,499519,349801f7c04d84ac7e14a9f12f37f7a85e1ca0635d99bd0bddb4aa120e9f0d2d,True,True,False,30.0,114,114,500,500,500:500,h264,3.8
N (15).mp4,NORMAL,C:\Users\Lenovo\Downloads\CattleLameness-main\CattleLameness-main\Data\Normal\N (15).mp4,.mp4,1241230,d078860719c804d0196637afe40dcdc96cc35f1eee1517ecb9811d1438baaf4e,True,True,False,29.92,157,157,500,500,500:500,h264,5.25
N (16).mp4,NORMAL,C:\Users\Lenovo\Downloads\CattleLameness-main\CattleLameness-main\Data\Normal\N (16).mp4,.mp4,1255250,18ae3d1a88cb2b18d7665c83066bcbaa4ac7e467eea4d22ff15b84d2bbeb7076,True,True,False,29.97,205,205,500,500,500:500,h264,6.84
N (17).mp4,NORMAL,C:\Users\Lenovo\Downloads\CattleLameness-main\CattleLameness-main\Data\Normal\N (17).mp4,.mp4,1197636,f44c9c28ec823eab4f22eec637dfc9df0cc1dc7f8b3c36a83fa2508586b19b53,True,True,False,30.0,152,152,500,500,500:500,h264,5.07
N (18).mp4,NORMAL,C:\Users\Lenovo\Downloads\CattleLameness-main\CattleLameness-main\Data\Normal\N (18).mp4,.mp4,384232,7ea8b13dcd532bcc852319a409239732b3a406d3ed229ff5dc67e71456a05e4c,True,True,False,60.0,111,111,500,500,500:500,h264,1.85
N (19).mp4,NORMAL,C:\Users\Lenovo\Downloads\CattleLameness-main\CattleLameness-main\Data\Normal\N (19).mp4,.mp4,1293191,9907ecea155a5162314bcf6d4440bf4cf6681ab5a7961aee4ea7e2d285110ea9,True,True,False,30.0,141,141,500,500,500:500,h264,4.7
N (2).mp4,NORMAL,C:\Users\Lenovo\Downloads\CattleLameness-main\CattleLameness-main\Data\Normal\N (2).mp4,.mp4,509381,8e97c28c0acf4f4218c4f28011c205026fbd474f181019545477930b7b1cf3d1,True,True,False,29.58,121,121,500,500,500:500,h264,4.09
N (20).mp4,NORMAL,C:\Users\Lenovo\Downloads\CattleLameness-main\CattleLameness-main\Data\Normal\N (20).mp4,.mp4,258129,d780a4192a8b6a47ac30040c86f9ccf4b84a908d61c40582396f62df41a8107c,True,True,False,29.97,247,247,500,500,500:500,h264,8.24
N (21).mp4,NORMAL,C:\Users\Lenovo\Downloads\CattleLameness-main\CattleLameness-main\Data\Normal\N (21).mp4,.mp4,164734,8a4937a4e11d705ab616ca086352a39545eabf0fcfe23d7f339e0f0c7429abe1,True,True,False,30.0,149,149,500,500,500:500,h264,4.97
N (22).mp4,NORMAL,C:\Users\Lenovo\Downloads\CattleLameness-main\CattleLameness-main\Data\Normal\N (22).mp4,.mp4,814626,b67629c0f0be9b8d48541e71d77127b37c976cf460569f2272c778c8e1529ca2,True,True,False,30.0,246,246,500,500,500:500,h264,8.2
N (23).mp4,NORMAL,C:\Users\Lenovo\Downloads\CattleLameness-main\CattleLameness-main\Data\Normal\N (23).mp4,.mp4,249412,8f2f9822ab2d748419b74361b0cf8692682e813fa4988a72d3fadc42481bbab0,True,True,False,60.0,81,81,500,500,500:500,h264,1.35
N (24).mp4,NORMAL,C:\Users\Lenovo\Downloads\CattleLameness-main\CattleLameness-main\Data\Normal\N (24).mp4,.mp4,398619,1bacd94380018779e5db588ace5d7db42f2de570b3dff59db6d27ce090d6cf7c,True,True,False,29.97,368,368,500,500,500:500,h264,12.28
N (25).mp4,NORMAL,C:\Users\Lenovo\Downloads\CattleLameness-main\CattleLameness-main\Data\Normal\N (25).mp4,.mp4,496417,703066499f2b0c5c9106213dcf212f05b95e1a20b71392fe6b917ff2fb7d2af8,True,True,False,25.0,79,79,500,500,500:500,h264,3.16
N (3).mp4,NORMAL,C:\Users\Lenovo\Downloads\CattleLameness-main\CattleLameness-main\Data\Normal\N (3).mp4,.mp4,770810,d86948af2bfdcbbb363b4c2d06f75f993db3fe75f7f77011986ee3ee28eb4968,True,True,False,30.0,156,156,500,500,500:500,h264,5.2
N (4).mp4,NORMAL,C:\Users\Lenovo\Downloads\CattleLameness-main\CattleLameness-main\Data\Normal\N (4).mp4,.mp4,561784,38cc55ae734eea227a425869b674c70cc93644e5259e1374d10ea73b7f4548dd,True,True,False,29.0,116,116,500,500,500:500,h264,4.0
N (5).mp4,NORMAL,C:\Users\Lenovo\Downloads\CattleLameness-main\CattleLameness-main\Data\Normal\N (5).mp4,.mp4,743535,39033e604634fb936a3b09862e67996b5a4135c874358c1218dcd0aa3ef68dde,True,True,False,28.7,204,204,500,500,500:500,h264,7.11
N (6).mp4,NORMAL,C:\Users\Lenovo\Downloads\CattleLameness-main\CattleLameness-main\Data\Normal\N (6).mp4,.mp4,383327,6a0abe0c2c0590ec218ce6a1e43a026c50852abb106fddde27ac8702ce9c3a4d,True,True,False,25.0,205,205,500,500,500:500,h264,8.2
N (7).mp4,NORMAL,C:\Users\Lenovo\Downloads\CattleLameness-main\CattleLameness-main\Data\Normal\N (7).mp4,.mp4,233042,e176f207f6a92ae1384ff56edddea5da2943eebf0a3f8496a9ebcc3fe9dc1910,True,True,False,30.0,155,155,500,500,500:500,h264,5.17
N (8).mp4,NORMAL,C:\Users\Lenovo\Downloads\CattleLameness-main\CattleLameness-main\Data\Normal\N (8).mp4,.mp4,169685,bf5a3e5fba861c979b2c9e50fa1fe75ba9f1b4eb8dc6b38725f88dc678ec5498,True,True,False,25.0,138,138,500,500,500:500,h264,5.52
N (9).mp4,NORMAL,C:\Users\Lenovo\Downloads\CattleLameness-main\CattleLameness-main\Data\Normal\N (9).mp4,.mp4,115031,39c71afaa1e27c09f152910d3a27f3a2c58c1e32111a4035b3dfa9ff46d3c0bc,True,True,False,30.0,161,161,500,500,500:500,h264,5.37
